"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"134",9,"numerals-muya1239-1-four-1","numerals-muya1239-1","Chan2019","four",4,"ʐʌ55=lø33","z55lo33",NA,"false","4{CLF}","",NA,"RE-GLOSSED"
"135",10,"numerals-muya1239-1-five-1","numerals-muya1239-1","Chan2019","five",5,"ɴɑ̠55=","na55",NA,"false","5","",NA,"RE-GLOSSED"
"136",11,"numerals-muya1239-1-five-1","numerals-muya1239-1","Chan2019","five",5,"ɴɑ̠55=lø33","na55lo33",NA,"false","5{CLF}","",NA,"RE-GLOSSED"
"137",12,"numerals-muya1239-1-six-1","numerals-muya1239-1","Chan2019","six",6,"tɕʰy55=","tchy55",NA,"false","6","",NA,"RE-GLOSSED"
"138",13,"numerals-muya1239-1-six-1","numerals-muya1239-1","Chan2019","six",6,"tɕʰy55=lø33","tchy55lo33",NA,"false","6{CLF}","",NA,"RE-GLOSSED"
"139",14,"numerals-muya1239-1-seven-1","numerals-muya1239-1","Chan2019","seven",7,"ɲy55=","ny55",NA,"false","7","",NA,"RE-GLOSSED"
"140",15,"numerals-muya1239-1-seven-1","numerals-muya1239-1","Chan2019","seven",7,"ɲy55=lø33","ny55lo33",NA,"false","7{CLF}","",NA,"RE-GLOSSED"
"141",16,"numerals-muya1239-1-eight-1","numerals-muya1239-1","Chan2019","eight",8,"ɕʌ55=","c55",NA,"false","8","",NA,"RE-GLOSSED"
"142",17,"numerals-muya1239-1-eight-1","numerals-muya1239-1","Chan2019","eight",8,"ɕʌ55=lø33","c55lo33",NA,"false","8{CLF}","",NA,"RE-GLOSSED"
"143",18,"numerals-muya1239-1-nine-1","numerals-muya1239-1","Chan2019","nine",9,"ŋɡə55=","ngga55",NA,"false","9","",NA,"RE-GLOSSED"
"144",19,"numerals-muya1239-1-nine-1","numerals-muya1239-1","Chan2019","nine",9,"ŋɡə55=lø33","ngga55lo33",NA,"false","9{CLF}","",NA,"RE-GLOSSED"
